Vietnamese,Korean,Vietnamese_Sentence,Korean_Sentence,tts_url,images_url
mũ,모자,Trời nắng,날씨가 화창해요.,https://r2.sangsang.vip/mp3/6abf76b2692e0b00d986b4cda7fbc4f7.mp3,https://r2.sangsang.vip/images/Trời_nắng.png
giày,신발,Đôi giày này rất đắt,이 신발은 매우 비싸요.,https://r2.sangsang.vip/mp3/2b899668dabf7f78437eb9150fea9eef.mp3,https://r2.sangsang.vip/images/Đôi_giày_này_rất_đắt.png
tay,손,Rửa tay trước khi ăn,식사 전에 손을 씻으세요.,https://r2.sangsang.vip/mp3/4cc2f4de3f9b15c7981def0650af3bae.mp3,https://r2.sangsang.vip/images/Rửa_tay_trước_khi_ăn.png
chân,발/다리,Tôi bị đau chân,다리가 아파요.,https://r2.sangsang.vip/mp3/c5abc6c7b20aab588a8072d8c26978a2.mp3,https://r2.sangsang.vip/images/Tôi_bị_đau_chân.png
đầu,머리,Anh ấy bị đau đầu,그는 머리가 아파요.,https://r2.sangsang.vip/mp3/718316db0b8217ef160ffac08753301c.mp3,https://r2.sangsang.vip/images/Anh_ấy_bị_đau_đầu.png
mắt,눈,Mắt của cô ấy màu đen,그녀의 눈은 검은색이에요.,https://r2.sangsang.vip/mp3/66dc84ac5de0c6e08980fe333b06724d.mp3,https://r2.sangsang.vip/images/Mắt_của_cô_ấy_màu_đen.png
mũi,코,Mũi của anh ấy cao,그의 코는 높아요.,https://r2.sangsang.vip/mp3/f140187e2530e36029645a53c435f23e.mp3,https://r2.sangsang.vip/images/Mũi_của_anh_ấy_cao.png
miệng,입,Mở miệng ra nào,입을 벌려보세요.,https://r2.sangsang.vip/mp3/c91f2469872a8049449b96fd3512a7cb.mp3,https://r2.sangsang.vip/images/Mở_miệng_ra_nào.png
tai,귀,Tôi nghe không rõ,잘 안 들려요.,https://r2.sangsang.vip/mp3/06859c17603da90046827974e2826474.mp3,https://r2.sangsang.vip/images/Tôi_nghe_không_rõ.png
tóc,머리카락,Cô ấy có mái tóc dài,그녀는 긴 머리를 가지고 있어요.,https://r2.sangsang.vip/mp3/f0e3ddd1ec19f92447d9e2b7962f2dd2.mp3,https://r2.sangsang.vip/images/Cô_ấy_có_mái_tóc_dài.png
cửa,문,Làm ơn đóng cửa lại,문 좀 닫아주세요.,https://r2.sangsang.vip/mp3/f19a5e103183eb8f87ae1cda7127047f.mp3,https://r2.sangsang.vip/images/Làm_ơn_đóng_cửa_lại.png
bàn,책상/테이블,Cái bàn này làm bằng gỗ,이 책상은 나무로 만들어졌어요.,https://r2.sangsang.vip/mp3/b3900b5ec9cb4c338b758ee00d51969d.mp3,https://r2.sangsang.vip/images/Cái_bàn_này_làm_bằng_gỗ.png
ghế,의자,Mời bạn ngồi vào ghế,의자에 앉으세요.,https://r2.sangsang.vip/mp3/6da097e55b2974ccc326332454342d5e.mp3,https://r2.sangsang.vip/images/Mời_bạn_ngồi_vào_ghế.png
điện thoại,전화기,Điện thoại của tôi hết pin rồi,제 핸드폰 배터리가 다 됐어요.,https://r2.sangsang.vip/mp3/b8cc2bd0b8ba5a58a8776be1124ca417.mp3,https://r2.sangsang.vip/images/Điện_thoại_của_tôi_hết_pin_rồi.png
máy tính,컴퓨터,Tôi đang dùng máy tính,컴퓨터를 사용하고 있어요.,https://r2.sangsang.vip/mp3/752dc569ae0b60864ba8b7beca2e1ac1.mp3,https://r2.sangsang.vip/images/Tôi_đang_dùng_máy_tính.png
tivi,텔레비전,Cả nhà đang xem tivi,온 가족이 TV를 보고 있어요.,https://r2.sangsang.vip/mp3/4c154e592f15cbfdc0b348cb6c1d45f2.mp3,https://r2.sangsang.vip/images/Cả_nhà_đang_xem_tivi.png
phòng,방,Phòng của tôi rất rộng,제 방은 매우 넓어요.,https://r2.sangsang.vip/mp3/3f391bb0d6d393a914628daf80a2403f.mp3,https://r2.sangsang.vip/images/Phòng_của_tôi_rất_rộng.png
giường,침대,Tôi muốn đi ngủ,자고 싶어요.,https://r2.sangsang.vip/mp3/ce7292b48b659bbb8f7b981a6abc4468.mp3,https://r2.sangsang.vip/images/Tôi_muốn_đi_ngủ.png
đồng hồ,시계,Mấy giờ rồi?,지금 몇 시예요?,https://r2.sangsang.vip/mp3/91a3aae3ecbae69622fa84945848b2de.mp3,https://r2.sangsang.vip/images/Mấy_giờ_rồi.png
bệnh viện,병원,Anh ấy phải vào bệnh viện,그는 병원에 입원해야 해요.,https://r2.sangsang.vip/mp3/0e301130344d73b9603155c7f2a9865c.mp3,https://r2.sangsang.vip/images/Anh_ấy_phải_vào_bệnh_viện.png
chợ,시장,Mẹ tôi đi chợ mua thức ăn,엄마는 시장에 음식을 사러 가셨어요.,https://r2.sangsang.vip/mp3/af36b58ee99ae65d5a4605a1ba1ae103.mp3,https://r2.sangsang.vip/images/Mẹ_tôi_đi_chợ_mua_thức_ăn.png
sân bay,공항,Tôi sẽ ra sân bay đón bạn,제가 공항으로 당신을 마중 나갈게요.,https://r2.sangsang.vip/mp3/199cbcbff704a74d6263e0e0555551c2.mp3,https://r2.sangsang.vip/images/Tôi_sẽ_ra_sân_bay_đón_bạn.png
ngân hàng,은행,Tôi cần đi đến ngân hàng,은행에 가야 해요.,https://r2.sangsang.vip/mp3/0a1064578add7a1febdd99e67e6a8a2d.mp3,https://r2.sangsang.vip/images/Tôi_cần_đi_đến_ngân_hàng.png
khách sạn,호텔,Chúng tôi đã đặt phòng khách sạn,우리는 호텔 방을 예약했어요.,https://r2.sangsang.vip/mp3/8e9b59df68d122bcda4c6f0e57cfc6f3.mp3,https://r2.sangsang.vip/images/Chúng_tôi_đã_đặt_phòng_khách_sạn.png
nhà hàng,식당,Nhà hàng này có món ăn ngon,이 식당은 음식이 맛있어요.,https://r2.sangsang.vip/mp3/0ddba74c2293015a83f86ba6757a45ac.mp3,https://r2.sangsang.vip/images/Nhà_hàng_này_có_món_ăn_ngon.png
công ty,회사,Tôi làm việc ở công ty này,저는 이 회사에서 일해요.,https://r2.sangsang.vip/mp3/b96da7d1b89032c1c60c17615eea3d06.mp3,https://r2.sangsang.vip/images/Tôi_làm_việc_ở_công_ty_này.png
công viên,공원,Cuối tuần tôi hay đi dạo ở công viên,주말에 저는 보통 공원에서 산책해요.,https://r2.sangsang.vip/mp3/f6805934bc9d316344e3730c0ab8b5d5.mp3,https://r2.sangsang.vip/images/Cuối_tuần_tôi_hay_đi_dạo_ở_công_viên.png
biển,바다,Mùa hè tôi thích đi biển,여름에 저는 바다에 가는 것을 좋아해요.,https://r2.sangsang.vip/mp3/377f329be1bc8339903b6ddd3d8446d9.mp3,https://r2.sangsang.vip/images/Mùa_hè_tôi_thích_đi_biển.png
núi,산,Nhà tôi có tầm nhìn ra núi,우리 집은 산이 보이는 전망이에요.,https://r2.sangsang.vip/mp3/8c1180df75f3510d6d75d955903fadc6.mp3,https://r2.sangsang.vip/images/Nhà_tôi_có_tầm_nhìn_ra_núi.png
sông,강,Sông Hồng chảy qua Hà Nội,홍강은 하노이를 가로질러 흘러요.,https://r2.sangsang.vip/mp3/426e3413928215071e7e39a43bc8dec6.mp3,https://r2.sangsang.vip/images/Sông_Hồng_chảy_qua_Hà_Nội.png
hoa,꽃,Cô ấy rất thích hoa,그녀는 꽃을 아주 좋아해요.,https://r2.sangsang.vip/mp3/f3b65730c6f34f1943ddb43de0900e56.mp3,https://r2.sangsang.vip/images/Cô_ấy_rất_thích_hoa.png
cây,나무,Ngoài vườn có nhiều cây xanh,정원 밖에는 푸른 나무가 많아요.,https://r2.sangsang.vip/mp3/10080f8ba29039d327ba0197e29cc50a.mp3,https://r2.sangsang.vip/images/Ngoài_vườn_có_nhiều_cây_xanh.png
trời,하늘/날씨,Hôm nay trời đẹp,오늘 날씨가 좋네요.,https://r2.sangsang.vip/mp3/4b58ec47de97e8baa27d68d494af5e3e.mp3,https://r2.sangsang.vip/images/Hôm_nay_trời_đẹp.png
mưa,비,Trời đang mưa to,비가 많이 오고 있어요.,https://r2.sangsang.vip/mp3/3ce5098dfa3f6fb22d3a0b925a2b5ce1.mp3,https://r2.sangsang.vip/images/Trời_đang_mưa_to.png
nắng,햇볕,Hôm nay trời nắng đẹp,오늘 날씨가 화창하고 좋아요.,https://r2.sangsang.vip/mp3/ae0b85e9ff26ad83991551bc7ffa019d.mp3,https://r2.sangsang.vip/images/Hôm_nay_trời_nắng_đẹp.png
gió,바람,Gió thổi mạnh quá,바람이 너무 세게 불어요.,https://r2.sangsang.vip/mp3/91c9abe44cc8b86efc7eb48e7e45f5e6.mp3,https://r2.sangsang.vip/images/Gió_thổi_mạnh_quá.png
lửa,불,Cẩn thận với lửa,불조심하세요.,https://r2.sangsang.vip/mp3/22b1128621edecb36987a65a4c8cb6e0.mp3,https://r2.sangsang.vip/images/Cẩn_thận_với_lửa.png
vàng,금/노란색,Chiếc nhẫn này bằng vàng,이 반지는 금으로 만들어졌어요.,https://r2.sangsang.vip/mp3/ddf9adfd8d46f6537b0122703590a552.mp3,https://r2.sangsang.vip/images/Chiếc_nhẫn_này_bằng_vàng.png
bạc,은/은색,Tôi thích màu bạc,저는 은색을 좋아해요.,https://r2.sangsang.vip/mp3/70bb43e43b77259fc0296a58c9535f68.mp3,https://r2.sangsang.vip/images/Tôi_thích_màu_bạc.png
sắt,철,Cửa này làm bằng sắt,이 문은 철로 만들어졌어요.,https://r2.sangsang.vip/mp3/08ad44ef9bc9cd4bc8335434a277ae8a.mp3,https://r2.sangsang.vip/images/Cửa_này_làm_bằng_sắt.png
thép,강철,Đây là một công trình bằng thép,이것은 강철 구조물입니다.,https://r2.sangsang.vip/mp3/fb76b28b5b318b0d5d793e78957ffb50.mp3,https://r2.sangsang.vip/images/Đây_là_một_công_trình_bằng_thép.png
gỗ,나무/목재,Cái bàn này làm bằng gỗ,이 책상은 나무로 만들어졌어요.,https://r2.sangsang.vip/mp3/b3900b5ec9cb4c338b758ee00d51969d.mp3,https://r2.sangsang.vip/images/Cái_bàn_này_làm_bằng_gỗ.png
nhựa,플라스틱,Cái ghế này làm bằng nhựa,이 의자는 플라스틱으로 만들어졌어요.,https://r2.sangsang.vip/mp3/e333a1d7b9809dec71faea94238396d1.mp3,https://r2.sangsang.vip/images/Cái_ghế_này_làm_bằng_nhựa.png
thủy tinh,유리,Cái cốc này làm bằng thủy tinh,이 컵은 유리로 만들어졌어요.,https://r2.sangsang.vip/mp3/52c82ba71ac931d26c75168e3472ff37.mp3,https://r2.sangsang.vip/images/Cái_cốc_này_làm_bằng_thủy_tinh.png
giấy,종이,Tôi cần một tờ giấy,종이 한 장이 필요해요.,https://r2.sangsang.vip/mp3/d34918cd62f3503132c35562ff397d24.mp3,https://r2.sangsang.vip/images/Tôi_cần_một_tờ_giấy.png
bút,펜,Cho tôi mượn cái bút,펜 좀 빌려주세요.,https://r2.sangsang.vip/mp3/b87263f7e243eb69f832cb4bcd7c5278.mp3,https://r2.sangsang.vip/images/Cho_tôi_mượn_cái_bút.png
thước,자,Học sinh cần có thước kẻ,학생은 자가 필요해요.,https://r2.sangsang.vip/mp3/99ff699457c2757fa1b6ff7e478038a0.mp3,https://r2.sangsang.vip/images/Học_sinh_cần_có_thước_kẻ.png
táo,사과,Tôi muốn ăn táo,사과를 먹고 싶어요.,https://r2.sangsang.vip/mp3/806a92250d8c15caeacd45e4da63ffea.mp3,https://r2.sangsang.vip/images/Tôi_muốn_ăn_táo.png
chuối,바나나,Khỉ thích ăn chuối,원숭이는 바나나 먹는 것을 좋아해요.,https://r2.sangsang.vip/mp3/0917435a66da2ad6de81822ed4ee8f46.mp3,https://r2.sangsang.vip/images/Khỉ_thích_ăn_chuối.png
cam,오렌지,Nước cam rất tốt cho sức khỏe,오렌지 주스는 건강에 아주 좋아요.,https://r2.sangsang.vip/mp3/bee2a38e79fe847a7a21fea240c5abcc.mp3,https://r2.sangsang.vip/images/Nước_cam_rất_tốt_cho_sức_khỏe.png
xoài,망고,Xoài này rất ngọt,이 망고는 매우 달아요.,https://r2.sangsang.vip/mp3/0e47f5cca976307c221f2a37ecadd474.mp3,https://r2.sangsang.vip/images/Xoài_này_rất_ngọt.png
dưa hấu,수박,Mùa hè ăn dưa hấu rất mát,여름에 수박을 먹으면 아주 시원해요.,https://r2.sangsang.vip/mp3/134f37112738b0c8efe4c8257d02661a.mp3,https://r2.sangsang.vip/images/Mùa_hè_ăn_dưa_hấu_rất_mát.png
sữa,우유,Trẻ em nên uống nhiều sữa,어린이는 우유를 많이 마셔야 해요.,https://r2.sangsang.vip/mp3/11b4b1782fceae69f22ff637a5fc1e74.mp3,https://r2.sangsang.vip/images/Trẻ_em_nên_uống_nhiều_sữa.png
trứng,계란,Bữa sáng tôi thường ăn trứng,아침 식사로 저는 보통 계란을 먹어요.,https://r2.sangsang.vip/mp3/b1b572a1b78a5f4eb91450631eaeeba1.mp3,https://r2.sangsang.vip/images/Bữa_sáng_tôi_thường_ăn_trứng.png
thịt,고기,Tôi không ăn thịt lợn,저는 돼지고기를 안 먹어요.,https://r2.sangsang.vip/mp3/745494d9d257bd34a48d9fc1609ddddb.mp3,https://r2.sangsang.vip/images/Tôi_không_ăn_thịt_lợn.png
cá,생선,Mẹ tôi nấu món cá rất ngon,엄마는 생선 요리를 아주 맛있게 하세요.,https://r2.sangsang.vip/mp3/5ef2e53e78a939acce07efae12ecc003.mp3,https://r2.sangsang.vip/images/Mẹ_tôi_nấu_món_cá_rất_ngon.png
rau,채소,Ăn nhiều rau rất tốt cho sức khỏe,채소를 많이 먹는 것은 건강에 아주 좋아요.,https://r2.sangsang.vip/mp3/482ec2cbf016d7398e5d8afd16629d63.mp3,https://r2.sangsang.vip/images/Ăn_nhiều_rau_rất_tốt_cho_sức_khỏe.png
muối,소금,Cho tôi một ít muối,소금 좀 주세요.,https://r2.sangsang.vip/mp3/8a07d177a9f526464bb65fb0c579d74d.mp3,https://r2.sangsang.vip/images/Cho_tôi_một_ít_muối.png
đường,설탕/길,Cà phê này hơi nhiều đường,이 커피는 설탕이 좀 많아요.,https://r2.sangsang.vip/mp3/f93dd0fc4733f51c63a9ed9ff9928e13.mp3,https://r2.sangsang.vip/images/Cà_phê_này_hơi_nhiều_đường.png
dầu,기름,Cho thêm một ít dầu ăn,식용유를 조금 더 넣어주세요.,https://r2.sangsang.vip/mp3/45728b210adfbf0194384d1dcecccf02.mp3,https://r2.sangsang.vip/images/Cho_thêm_một_ít_dầu_ăn.png
hành,파,Tôi không thích ăn hành,저는 파를 먹는 것을 안 좋아해요.,https://r2.sangsang.vip/mp3/9b386d3989fe56e1041d95a7be236991.mp3,https://r2.sangsang.vip/images/Tôi_không_thích_ăn_hành.png
tỏi,마늘,Tỏi rất tốt cho sức khỏe,마늘은 건강에 아주 좋아요.,https://r2.sangsang.vip/mp3/7ad74f10950e9f639899313a864f75d1.mp3,https://r2.sangsang.vip/images/Tỏi_rất_tốt_cho_sức_khỏe.png
ớt,고추,Món này cay quá,이 음식은 너무 매워요.,https://r2.sangsang.vip/mp3/3b63fc00b5a8038348fba73102e16413.mp3,https://r2.sangsang.vip/images/Món_này_cay_quá.png
bia,맥주,Buổi tối tôi hay uống bia với bạn,저녁에 저는 친구와 맥주를 마시곤 해요.,https://r2.sangsang.vip/mp3/8240cacc87a4da2201c00675aa9e251f.mp3,https://r2.sangsang.vip/images/Buổi_tối_tôi_hay_uống_bia_với_bạn.png
rượu,술,Anh ấy uống rượu say rồi,그는 술에 취했어요.,https://r2.sangsang.vip/mp3/2b72d551f905190feffca7b2cbe5337a.mp3,https://r2.sangsang.vip/images/Anh_ấy_uống_rượu_say_rồi.png
thuốc,약,Tôi phải uống thuốc,약을 먹어야 해요.,https://r2.sangsang.vip/mp3/bfe87dc4234653d8974667ea3fef12fc.mp3,https://r2.sangsang.vip/images/Tôi_phải_uống_thuốc.png
báo,신문,Ông tôi thích đọc báo,할아버지는 신문 읽는 것을 좋아하세요.,https://r2.sangsang.vip/mp3/39e214b09794129be3ab2e8cb432737c.mp3,https://r2.sangsang.vip/images/Ông_tôi_thích_đọc_báo.png
tạp chí,잡지,Đây là tạp chí thời trang mới nhất,이것은 최신 패션 잡지입니다.,https://r2.sangsang.vip/mp3/1249202dbc6a30ff511800db078b982f.mp3,https://r2.sangsang.vip/images/Đây_là_tạp_chí_thời_trang_mới_nhất.png
ảnh,사진,Tôi muốn chụp một tấm ảnh,사진 한 장 찍고 싶어요.,https://r2.sangsang.vip/mp3/b200fddf2b0522bd9cdb0cbc7cddf10b.mp3,https://r2.sangsang.vip/images/Tôi_muốn_chụp_một_tấm_ảnh.png
phim,영화,Tối nay chúng ta đi xem phim nhé?,오늘 밤에 우리 영화 보러 갈래요?,https://r2.sangsang.vip/mp3/a0d2d7c43287fa2b996562cfb738c834.mp3,https://r2.sangsang.vip/images/Tối_nay_chúng_ta_đi_xem_phim_nhé.png
nhạc,음악,Tôi thích nghe nhạc Pop,저는 팝 음악 듣는 것을 좋아해요.,https://r2.sangsang.vip/mp3/45d674a93c6f483cf93dc98d2de417a1.mp3,https://r2.sangsang.vip/images/Tôi_thích_nghe_nhạc_Pop.png
thơ,시,Anh ấy là một nhà thơ nổi tiếng,그는 유명한 시인입니다.,https://r2.sangsang.vip/mp3/84d59f02d92d8f3217f047ba313452ec.mp3,https://r2.sangsang.vip/images/Anh_ấy_là_một_nhà_thơ_nổi_tiếng.png
tranh,그림,Bức tranh này rất đẹp,이 그림은 매우 아름답습니다.,https://r2.sangsang.vip/mp3/92bb18ddf613fedaef4bb3c87f01eb86.mp3,https://r2.sangsang.vip/images/Bức_tranh_này_rất_đẹp.png
tượng,동상,Đây là tượng đài Lý Thái Tổ,이것은 리타이또 동상입니다.,https://r2.sangsang.vip/mp3/cc1793dbfe12236b684d0c419a3969c1.mp3,https://r2.sangsang.vip/images/Đây_là_tượng_đài_Lý_Thái_Tổ.png
chữ,글자,Chữ Việt Nam khó viết không?,베트남 글씨는 쓰기 어렵나요?,https://r2.sangsang.vip/mp3/35694ba284c6872e3e8aa6a6f86f1de7.mp3,https://r2.sangsang.vip/images/Chữ_Việt_Nam_khó_viết_không.png
số,숫자,Bạn thích số mấy?,어떤 숫자를 좋아하세요?,https://r2.sangsang.vip/mp3/ab86b365bf9efcbff7b6fec70a8e74d5.mp3,https://r2.sangsang.vip/images/Bạn_thích_số_mấy.png
màu,색깔,Bạn thích màu gì?,무슨 색을 좋아하세요?,https://r2.sangsang.vip/mp3/33c05015c329e2b150f9ac0e76228aba.mp3,https://r2.sangsang.vip/images/Bạn_thích_màu_gì.png
đỏ,빨간색,Màu đỏ là màu của may mắn,빨간색은 행운의 색입니다.,https://r2.sangsang.vip/mp3/da0c977a848dbf99c1cf4e5aa1eb0a19.mp3,https://r2.sangsang.vip/images/Màu_đỏ_là_màu_của_may_mắn.png
xanh,파란색/초록색,Bầu trời màu xanh,하늘은 파란색입니다.,https://r2.sangsang.vip/mp3/d4cf6997540fa711238394840e4031b8.mp3,https://r2.sangsang.vip/images/Bầu_trời_màu_xanh.png
vàng,노란색,Hoa cúc màu vàng,국화는 노란색입니다.,https://r2.sangsang.vip/mp3/3a4ed03eb92e32567f3f99af2b91a871.mp3,https://r2.sangsang.vip/images/Hoa_cúc_màu_vàng.png
đen,검은색,Con mèo màu đen,고양이는 검은색입니다.,https://r2.sangsang.vip/mp3/f1de36e55e80277ff8238049517efa65.mp3,https://r2.sangsang.vip/images/Con_mèo_màu_đen.png
trắng,흰색,Cô ấy mặc chiếc váy màu trắng,그녀는 하얀색 원피스를 입고 있어요.,https://r2.sangsang.vip/mp3/6d45019b6c97c0e692470a1fb361a769.mp3,https://r2.sangsang.vip/images/Cô_ấy_mặc_chiếc_váy_màu_trắng.png
hồng,분홍색,Tôi thích màu hồng,저는 분홍색을 좋아해요.,https://r2.sangsang.vip/mp3/a956137f55a222a354efceaf0c1033d8.mp3,https://r2.sangsang.vip/images/Tôi_thích_màu_hồng.png
tím,보라색,Hoa oải hương có màu tím,라벤더는 보라색입니다.,https://r2.sangsang.vip/mp3/f2d4ff63a1579cb918dda07ad2a2c29f.mp3,https://r2.sangsang.vip/images/Hoa_oải_hương_có_màu_tím.png
cam,주황색,Quả cam có màu cam,오렌지는 주황색입니다.,https://r2.sangsang.vip/mp3/f3648b13e257327f16b7a8edd5d9c642.mp3,https://r2.sangsang.vip/images/Quả_cam_có_màu_cam.png
xám,회색,Bầu trời hôm nay màu xám,오늘 하늘은 회색입니다.,https://r2.sangsang.vip/mp3/ac05cb334e6bda90df5da0f024de3d74.mp3,https://r2.sangsang.vip/images/Bầu_trời_hôm_nay_màu_xám.png
nâu,갈색,Đôi mắt cô ấy màu nâu,그녀의 눈은 갈색입니다.,https://r2.sangsang.vip/mp3/1d50cd558eabf7f06b2c358e898e345b.mp3,https://r2.sangsang.vip/images/Đôi_mắt_cô_ấy_màu_nâu.png
tình yêu,사랑,Tình yêu là thứ quý giá nhất,사랑은 가장 소중한 것입니다.,https://r2.sangsang.vip/mp3/447ebb36014d856b2468cde671a08faf.mp3,https://r2.sangsang.vip/images/Tình_yêu_là_thứ_quý_giá_nhất.png
hạnh phúc,행복,Chúc bạn luôn hạnh phúc,항상 행복하길 바라요.,https://r2.sangsang.vip/mp3/3394cb30af72fd9016dd8f16cbfe3ef0.mp3,https://r2.sangsang.vip/images/Chúc_bạn_luôn_hạnh_phúc.png
nỗi buồn,슬픔,Ai cũng có những nỗi buồn riêng,누구나 각자의 슬픔이 있어요.,https://r2.sangsang.vip/mp3/57fcae3795bb7d6fa7b53e64bea58c31.mp3,https://r2.sangsang.vip/images/Ai_cũng_có_những_nỗi_buồn_riêng.png
